date,year,month,month_name,mode,patronage,network_group
2018-01-01,2018,1,January,Metropolitan Train,16809932,Metropolitan
2018-02-01,2018,2,February,Metropolitan Train,19554477,Metropolitan
2018-03-01,2018,3,March,Metropolitan Train,22659010,Metropolitan
2018-04-01,2018,4,April,Metropolitan Train,20312040,Metropolitan
2018-05-01,2018,5,May,Metropolitan Train,22768447,Metropolitan
2018-06-01,2018,6,June,Metropolitan Train,19284755,Metropolitan
2018-07-01,2018,7,July,Metropolitan Train,20732099,Metropolitan
2018-08-01,2018,8,August,Metropolitan Train,22566766,Metropolitan
2018-09-01,2018,9,September,Metropolitan Train,20056487,Metropolitan
2018-10-01,2018,10,October,Metropolitan Train,22299761,Metropolitan
2018-11-01,2018,11,November,Metropolitan Train,20806123,Metropolitan
2018-12-01,2018,12,December,Metropolitan Train,16665365,Metropolitan
2019-01-01,2019,1,January,Metropolitan Train,17074623,Metropolitan
2019-02-01,2019,2,February,Metropolitan Train,20011823,Metropolitan
2019-03-01,2019,3,March,Metropolitan Train,22250796,Metropolitan
2019-04-01,2019,4,April,Metropolitan Train,18579825,Metropolitan
2019-05-01,2019,5,May,Metropolitan Train,23045436,Metropolitan
2019-06-01,2019,6,June,Metropolitan Train,19099513,Metropolitan
2019-07-01,2019,7,July,Metropolitan Train,20771347,Metropolitan
2019-08-01,2019,8,August,Metropolitan Train,22618021,Metropolitan
2019-09-01,2019,9,September,Metropolitan Train,20593343,Metropolitan
2019-10-01,2019,10,October,Metropolitan Train,22429337,Metropolitan
2019-11-01,2019,11,November,Metropolitan Train,20413342,Metropolitan
2019-12-01,2019,12,December,Metropolitan Train,17890229,Metropolitan
2020-01-01,2020,1,January,Metropolitan Train,17015987,Metropolitan
2020-02-01,2020,2,February,Metropolitan Train,19811543,Metropolitan
2020-03-01,2020,3,March,Metropolitan Train,13746958,Metropolitan
2020-04-01,2020,4,April,Metropolitan Train,2165747,Metropolitan
2020-05-01,2020,5,May,Metropolitan Train,3670296,Metropolitan
2020-06-01,2020,6,June,Metropolitan Train,6432121,Metropolitan
2020-07-01,2020,7,July,Metropolitan Train,3963903,Metropolitan
2020-08-01,2020,8,August,Metropolitan Train,1887499,Metropolitan
2020-09-01,2020,9,September,Metropolitan Train,1931257,Metropolitan
2020-10-01,2020,10,October,Metropolitan Train,3388960,Metropolitan
2020-11-01,2020,11,November,Metropolitan Train,6439402,Metropolitan
2020-12-01,2020,12,December,Metropolitan Train,7868276,Metropolitan
2021-01-01,2021,1,January,Metropolitan Train,7231312,Metropolitan
2021-02-01,2021,2,February,Metropolitan Train,7822660,Metropolitan
2021-03-01,2021,3,March,Metropolitan Train,11852314,Metropolitan
2021-04-01,2021,4,April,Metropolitan Train,11632636,Metropolitan
2021-05-01,2021,5,May,Metropolitan Train,11375712,Metropolitan
2021-06-01,2021,6,June,Metropolitan Train,6321515,Metropolitan
2021-07-01,2021,7,July,Metropolitan Train,7512489,Metropolitan
2021-08-01,2021,8,August,Metropolitan Train,3954587,Metropolitan
2021-09-01,2021,9,September,Metropolitan Train,2769485,Metropolitan
2021-10-01,2021,10,October,Metropolitan Train,3995863,Metropolitan
2021-11-01,2021,11,November,Metropolitan Train,8341146,Metropolitan
2021-12-01,2021,12,December,Metropolitan Train,9127862,Metropolitan
2022-01-01,2022,1,January,Metropolitan Train,5778986,Metropolitan
2022-02-01,2022,2,February,Metropolitan Train,8382008,Metropolitan
2022-03-01,2022,3,March,Metropolitan Train,13045722,Metropolitan
2022-04-01,2022,4,April,Metropolitan Train,11890697,Metropolitan
2022-05-01,2022,5,May,Metropolitan Train,12833409,Metropolitan
2022-06-01,2022,6,June,Metropolitan Train,11842624,Metropolitan
2022-07-01,2022,7,July,Metropolitan Train,12019600,Metropolitan
2022-08-01,2022,8,August,Metropolitan Train,13095346,Metropolitan
2022-09-01,2022,9,September,Metropolitan Train,12936260,Metropolitan
2022-10-01,2022,10,October,Metropolitan Train,12909284,Metropolitan
2022-11-01,2022,11,November,Metropolitan Train,13072188,Metropolitan
2022-12-01,2022,12,December,Metropolitan Train,11867965,Metropolitan
2023-01-01,2023,1,January,Metropolitan Train,10109375,Metropolitan
2023-02-01,2023,2,February,Metropolitan Train,12831622,Metropolitan
2023-03-01,2023,3,March,Metropolitan Train,16527142,Metropolitan
2023-04-01,2023,4,April,Metropolitan Train,13288137,Metropolitan
2023-05-01,2023,5,May,Metropolitan Train,15312507,Metropolitan
2023-06-01,2023,6,June,Metropolitan Train,13115087,Metropolitan
2023-07-01,2023,7,July,Metropolitan Train,14020167,Metropolitan
2023-08-01,2023,8,August,Metropolitan Train,16437412,Metropolitan
2023-09-01,2023,9,September,Metropolitan Train,14847177,Metropolitan
2023-10-01,2023,10,October,Metropolitan Train,15199277,Metropolitan
2023-11-01,2023,11,November,Metropolitan Train,14653512,Metropolitan
2023-12-01,2023,12,December,Metropolitan Train,13516661,Metropolitan
2024-01-01,2024,1,January,Metropolitan Train,13254775,Metropolitan
2024-02-01,2024,2,February,Metropolitan Train,15828610,Metropolitan
2024-03-01,2024,3,March,Metropolitan Train,17171572,Metropolitan
2024-04-01,2024,4,April,Metropolitan Train,15943432,Metropolitan
2024-05-01,2024,5,May,Metropolitan Train,17201139,Metropolitan
2024-06-01,2024,6,June,Metropolitan Train,14454677,Metropolitan
2024-07-01,2024,7,July,Metropolitan Train,15901814,Metropolitan
2024-08-01,2024,8,August,Metropolitan Train,17273609,Metropolitan
2024-09-01,2024,9,September,Metropolitan Train,15323401,Metropolitan
2024-10-01,2024,10,October,Metropolitan Train,16934209,Metropolitan
2024-11-01,2024,11,November,Metropolitan Train,14968410,Metropolitan
2024-12-01,2024,12,December,Metropolitan Train,13603360,Metropolitan
2025-01-01,2025,1,January,Metropolitan Train,13379440,Metropolitan
2025-02-01,2025,2,February,Metropolitan Train,14514256,Metropolitan
2025-03-01,2025,3,March,Metropolitan Train,17994138,Metropolitan
2025-04-01,2025,4,April,Metropolitan Train,15480989,Metropolitan
2025-05-01,2025,5,May,Metropolitan Train,17588793,Metropolitan
2025-06-01,2025,6,June,Metropolitan Train,14442545,Metropolitan
2025-07-01,2025,7,July,Metropolitan Train,15451503,Metropolitan
2025-08-01,2025,8,August,Metropolitan Train,16189046,Metropolitan
2025-09-01,2025,9,September,Metropolitan Train,14998479,Metropolitan
2025-10-01,2025,10,October,Metropolitan Train,15977164,Metropolitan
2025-11-01,2025,11,November,Metropolitan Train,14297664,Metropolitan
2025-12-01,2025,12,December,Metropolitan Train,14894850,Metropolitan
2026-01-01,2026,1,January,Metropolitan Train,14263509,Metropolitan
2026-02-01,2026,2,February,Metropolitan Train,15646464,Metropolitan
2026-03-01,2026,3,March,Metropolitan Train,19839890,Metropolitan
2026-04-01,2026,4,April,Metropolitan Train,22346784,Metropolitan
2026-05-01,2026,5,May,Metropolitan Train,21639441,Metropolitan
