year,mode,annual_patronage
2018,Metropolitan Train,244515262
2018,Metropolitan Tram,205450089
2018,Metropolitan Bus,120803552
2018,V/Line Train,20293839
2018,Regional Bus,12904355
2018,V/Line Coach,1325061
2019,Metropolitan Train,244777635
2019,Metropolitan Tram,198585515
2019,Metropolitan Bus,123691851
2019,V/Line Train,21549643
2019,Regional Bus,13176821
2019,V/Line Coach,1301809
2020,Metropolitan Train,88321949
2020,Metropolitan Tram,63311908
2020,Metropolitan Bus,57630318
2020,V/Line Train,8668065
2020,Regional Bus,8267337
2020,V/Line Coach,624059
2021,Metropolitan Train,91937581
2021,Metropolitan Tram,70814545
2021,Metropolitan Bus,62145077
2021,V/Line Train,9142722
2021,Regional Bus,8453615
2021,V/Line Coach,636571
2022,Metropolitan Train,139674089
2022,Metropolitan Tram,125200605
2022,Metropolitan Bus,87446196
2022,V/Line Train,14757067
2022,Regional Bus,11474517
2022,V/Line Coach,851753
2023,Metropolitan Train,169858076
2023,Metropolitan Tram,152092229
2023,Metropolitan Bus,109898208
2023,V/Line Train,20342549
2023,Regional Bus,13324469
2023,V/Line Coach,1153582
2024,Metropolitan Train,187859008
2024,Metropolitan Tram,159556743
2024,Metropolitan Bus,115930767
2024,V/Line Train,24072149
2024,Regional Bus,12707704
2024,V/Line Coach,1346508
2025,Metropolitan Train,185208867
2025,Metropolitan Tram,153671567
2025,Metropolitan Bus,112422690
2025,V/Line Train,25721046
2025,Regional Bus,11824770
2025,V/Line Coach,1358877
2026,Metropolitan Train,110502162
2026,Metropolitan Tram,82166346
2026,Metropolitan Bus,58672872
2026,V/Line Train,14010757
2026,Regional Bus,6152719
2026,V/Line Coach,717980
