year,mode,annual_patronage,mode_share_pct
2018,Metropolitan Train,244515262,40.4
2018,Metropolitan Tram,205450089,33.94
2018,Metropolitan Bus,120803552,19.96
2018,V/Line Train,20293839,3.35
2018,Regional Bus,12904355,2.13
2018,V/Line Coach,1325061,0.22
2019,Metropolitan Train,244777635,40.59
2019,Metropolitan Tram,198585515,32.93
2019,Metropolitan Bus,123691851,20.51
2019,V/Line Train,21549643,3.57
2019,Regional Bus,13176821,2.18
2019,V/Line Coach,1301809,0.22
2020,Metropolitan Train,88321949,38.94
2020,Metropolitan Tram,63311908,27.91
2020,Metropolitan Bus,57630318,25.41
2020,V/Line Train,8668065,3.82
2020,Regional Bus,8267337,3.64
2020,V/Line Coach,624059,0.28
2021,Metropolitan Train,91937581,37.81
2021,Metropolitan Tram,70814545,29.13
2021,Metropolitan Bus,62145077,25.56
2021,V/Line Train,9142722,3.76
2021,Regional Bus,8453615,3.48
2021,V/Line Coach,636571,0.26
2022,Metropolitan Train,139674089,36.81
2022,Metropolitan Tram,125200605,33.0
2022,Metropolitan Bus,87446196,23.05
2022,V/Line Train,14757067,3.89
2022,Regional Bus,11474517,3.02
2022,V/Line Coach,851753,0.22
2023,Metropolitan Train,169858076,36.4
2023,Metropolitan Tram,152092229,32.59
2023,Metropolitan Bus,109898208,23.55
2023,V/Line Train,20342549,4.36
2023,Regional Bus,13324469,2.86
2023,V/Line Coach,1153582,0.25
2024,Metropolitan Train,187859008,37.46
2024,Metropolitan Tram,159556743,31.82
2024,Metropolitan Bus,115930767,23.12
2024,V/Line Train,24072149,4.8
2024,Regional Bus,12707704,2.53
2024,V/Line Coach,1346508,0.27
2025,Metropolitan Train,185208867,37.78
2025,Metropolitan Tram,153671567,31.35
2025,Metropolitan Bus,112422690,22.93
2025,V/Line Train,25721046,5.25
2025,Regional Bus,11824770,2.41
2025,V/Line Coach,1358877,0.28
2026,Metropolitan Train,110502162,40.59
2026,Metropolitan Tram,82166346,30.18
2026,Metropolitan Bus,58672872,21.55
2026,V/Line Train,14010757,5.15
2026,Regional Bus,6152719,2.26
2026,V/Line Coach,717980,0.26
